"","artist","title"
"822","kid cudi","tequila shots"
"823","kid cudi; skepta; pop smoke","show out"
"824","kizaru","что за бизнес сука?"
"825","kizaru; tory lanez","bad blood"
"826","kizaru","g shit"
"827","kizaru","plug"
"828","kizaru","газ в пол"
"829","kizaru","изи арифметика"
"830","kizaru; smokepurpp","you and me"
"831","kizaru","whistle song"
"832","kizaru","ice cream"
"833","kizaru","wassup homie"
"834","kizaru","oh whou"
"835","kizaru","trapazoid"
"836","kizaru","mr. slime"
"837","kizaru","keep straight"
"838","клава кока","пьяную домой"
"839","клава кока","сладкие мальчики"
"840","клава кока; руки вверх","нокаут"
"841","konfuz","ранила меня"
"842","konfuz","война"
"843","kostromin","my head is spinning like a screw"
"844","кровосток","амфибия"
"845","кровосток","делают"
"846","l'one","влюбился"
"847","l'one","поход (эдуард артемьев)"
"848","lana del rey","chemtrails over the country club"
"849","lana del rey","white dress"
"850","laud; cream soda","магия"
"851","laud; gone.fludd","пули"
"852","лёша свик","ты так пьяна"
"853","лёша свик","я буду помнить"
"854","лёша свик","не зашьёшь"
"855","лёша свик","инсомния"
"856","lil durk; lil baby","finesse out the gang way"
"857","lil nas x","montero (call me by your name)"
"858","lil tjay; 6lack","calling my phone"
"859","lildrughill","поменять"
"860","little big","sex machine"
"861","lizer","верю"
"862","loboda","moloko"
"863","loboda","родной"
"864","lovv66; mayot","ловв и майот"
"865","lovv66; og buda","неправильно"
"866","m'dee","температура"
"867","m'dee","до завтра"
"868","m'dee","cloud 9"
"869","m'dee; anikv","закрытый клуб"
"870","macan","я пытался любить тебя"
"871","macan","верь мне"
"872","macan","харибо"
"873","macan","slow mo"
"874","macan","stories"
"875","macan","fell in love"
"876","måneskin","zitti e buoni"
"877","måneskin","zitti e buoni (eurovision version)"
"878","måneskin","i wanna be your slave"
"879","måneskin","coraline"
"880","manizha","russian woman"
"881","мари краймбрери","самолёт"
"882","мари краймбрери","холостяк"
"883","мари краймбрери; alex davia","if you love me"
"884","мари краймбрери","ты меня не забудешь"
"885","мари краймбрери","иди танцуй"
"886","мари краймбрери; ёлка","новогодний вайб"
"887","mariah carey","all i want for christmas is you"
"888","markul; куок","тренировочный день"
"889","markul","бумеранг"
"890","mary gu","не влюбляйся"
"891","mary gu","17"
"892","mary gu","косички"
"893","mary gu","виселица"
"894","mary gu","она читает бродского"
"895","mary gu","+1"
"896","masked wolf","astronaut in the ocean"
"897","макс барских","имена (from ""la plage"")"
"898","mayot","абонент"
"899","mayot","снег"
"900","michael bublé","it's beginning to look a lot like christmas"
"901","miley cyrus; dua lipa","prisoner"
"902","minelli","rampampam"
"903","miyagi; tumaniyo; kadi","bismarck"
"904","miyagi","captain"
"905","mona songz","салют, вера"
"906","monatik","ресницы безопасности"
"907","monatik; lida lee; nino","ритмоlove"
"908","moneyken","ты мой океан"
"909","moneyken","грустная на тусе"
"910","monoir; eneli","3 to 1"
"911","morgenshtern","бебебе"
"912","morgenshtern","ретро рейв"
"913","morgenshtern","чёрный бумер"
"914","morgenshtern","последний бит от славы"
"915","morgenshtern","скит от славы"
"916","morgenshtern","no mo luv"
"917","morgenshtern","ты ослеп"
"918","morgenshtern","слава вернись (interlude)"
"919","morgenshtern","можно сфоткаться?"
"920","morgenshtern","когда нас отпустит"
"921","morgenshtern","я когда-нибудь уйду"
"922","morgenshtern","папин танк"
"923","morgenshtern","мания"
"924","morgenshtern","pull up"
"925","morgenshtern","я на таблах"
"926","morgenshtern","скит от @vsbattlevideo"
"927","morgenshtern; imanbek; fetty wap; kddk","leck"
"928","moses; emr3ygul; alexiane","a million on my soul (remix)"
"929","мот; lyriq","не бруклин"
"930","murovei; тима белорусских","пробегал мимо"
"931","нервы","твоим морем"
"932","nessa barrett; jxdn","la di die"
"933","niletto","дай мне"
"934","niletto","невывозимая"
"935","nk","красное вино"
"936","nlo","не грусти"
"937","нюша; лсп","грязные танцы"
"938","nю","я убегу"
"939","nю","безумный"
"940","obladaet","random"
"941","obladaet","shinobi"
"942","obladaet","blind zone"
"943","obladaet","1 000 000"
"944","obladaet","def joint 2"
"945","obladaet; thrill pill","nhl money"
"946","ольга бузова","розовые очки"
"947","ольга бузова","грустный трек"
"948","oliver tree","jerk"
"949","olivia rodrigo","drivers license"
"950","olivia rodrigo","deja vu"
"951","olivia rodrigo","good 4 u"
"952","ollane; miyagi; andy panda","where are you"
"953","pháo","2 phút hơn (kaiz remix)"
"954","pharaoh","печаль cо знаком 8"
"955","pharaoh","silence !"
"956","pharaoh","route 333 ost"
"957","pharaoh","1 из легенд"
"958","pharaoh; 39","судный день"
"959","pharaoh; noa","никогда опять"
"960","pharaoh","днмп"
"961","pharaoh","перед смертью все равны"
"962","pharaoh","the real unplugged (acceptance of darkness)"
"963","pharaoh","во имя тьмы"
"964","pharaoh; 39","рискк"
"965","филипп киркоров; maruv","komilfo"
"966","полина гагарина","зима"
"967","qurt; didar","я тебя хочу"
"968","ramil'","аромат"
"969","ramil'","levi's"
"970","ramil'","не звони мне"
"971","ramil'","сигаретный дым"
"972","ramil'","рядом не те"
"973","ramil'","медляк"
"974","ramil'","бусы в потолок"
"975","ramil'; елена темникова","из-за тебя"
"976","rilès","pesetas"
"977","rita dakota","спички"
"978","rita dakota","карандаш"
"979","rita ora; david guetta; imanbek; gunna","big"
"980","rocket","monday"
"981","руки вверх","#танецпоп"
"982","руки вверх","deep house"
"983","saluki; 104; j. rouh","xxx"
"984","saluki; 104; osa","доски"
"985","saluki; 104; og buda; mayot; кисло-сладкий; bonah","kelin"
"986","saluki; 104; andy panda","ангел"
"987","saluki; 104","joot'"
"988","saluki; 104","full time"
"989","saluki; 104","диско бол"
"990","saluki; 104; рамш","s1"
"991","скриптонит","жить как я живу"
"992","скриптонит; feduk","рамок нет"
"993","скриптонит","16"
"994","скриптонит","оттенки"
"995","скриптонит","колёса 2"
"996","скриптонит","бэлмэйн"
"997","скриптонит","прям с утра"
"998","скриптонит; сёстры","лепесток"
"999","скриптонит","маленькие ублюдки"
"1000","скриптонит","не прокашляешься"
"1001","скриптонит","кэс"
"1002","скриптонит","одно и то же"
"1003","скриптонит","великолепно (скит)"
"1004","скриптонит","рэп"
"1005","скриптонит","какие новости"
"1006","скриптонит; feduk; truwer; niman; баста","мама"
"1007","скриптонит; niman","spice girls"
"1008","скриптонит; niman","gasoline"
"1009","скриптонит; niman","nice guy"
"1010","selena gomez","de una vez"
"1011","shawn mendes; justin bieber","monster"
"1012","sia; david guetta","floating through space"
"1013","slame","братан"
"1014","slame; nю","пряный ром"
"1015","slava marlow","артём (skit)"
"1016","slowthai; skepta","cancelled"
"1017","soda luv; 163onmyneck","коть коть"
"1018","soda luv; buster","осуждаю"
"1019","soda luv","тысячи рук"
"1020","sorry jesus; элджей","18+"
"1021","sqwoz bab; хлеб","бывший"
"1022","sqwoz bab; yung trappa","avia"
"1023","sza","good days"
"1024","t-fest","тишина freestyle"
"1025","t-fest; дора","cayendo"
"1026","t-fest","время догонит нас (баста 41)"
"1027","t-fest","я тоже"
"1028","tate mcrae","you broke me first"
"1029","taylor swift","willow"
"1030","tesher","jalebi baby"
"1031","the hatters","я делаю шаг"
"1032","the kid laroi","without you"
"1033","the limba","дай мне ответ"
"1034","the ronettes","sleigh ride"
"1035","the roop","discoteque"
"1036","the weeknd","save your tears"
"1037","the weeknd; ariana grande","save your tears (remix)"
"1038","tiësto","the business"
"1039","тимати","локоны"
"1040","тимати","харлей"
"1041","тимати","чокер"
"1042","тимати","маски"
"1043","тимати; dashxx","полностью моя"
"1044","тимати","падаем вместе"
"1045","тимати; гуф","что возьму я с собой"
"1046","тимати; ханза; oweek","скандал"
"1047","travis scott; hvme","goosebumps (remix)"
"1048","trippie redd; playboi carti","miss the rage"
"1049","truwer; atl","весь в отца"
"1050","truwer","муса"
"1051","truwer","автосити"
"1052","truwer; qurt; недры; скриптонит","дерзко remix"
"1053","truwer","jel"
"1054","truwer","uyat"
"1055","tumaniyo; sимптом","насквозь"
"1056","twenty one pilots","shy away"
"1057","ty dolla $ign; post malone","spicy"
"1058","verbee","с меня хватит"
"1059","verbee; kara kross","заберу своё"
"1060","verbee; kravz","на движе"
"1061","верка сердючка","new year song"
"1062","wham!","last christmas (single version)"
"1063","xcho; пабло; alemond","only you"
"1064","yanix","mandem"
"1065","yung trappa; morgenshtern","розовое вино 2"
"1066","zemfira","остин"
"1067","zemfira","пальто"
"1068","zemfira","жди меня"
"1069","zemfira","таблетки"
"1070","zemfira","ок"
"1071","zemfira","камон"
"1072","zemfira","абъюз"
"1073","zemfira","этим летом"
"1074","zemfira","том"
"1075","zemfira","крым"
"1076","zemfira","снег идёт"
"1077","zemfira","мама"
"1078","zemfira","злой человек"
"1079","zivert","fly 3 (новогодняя версия)"
"1080","zivert","многоточия (radio edit)"
"1081","зомб; ханна","шанс"
"1082","zvonkiy","после пяти"
"1083","абрикоса","влюбилась в друга"
"1084","алёна швец.","вино и сигареты"
"1085","алёна швец.","первое свидание"
"1086","анет сай; niletto","не люблю?"
"1087","артём качер","дикая"
"1088","артём качер","стреляй"
"1089","артём качер","дуру люблю"
"1090","ваня дмитриенко","стерва"
"1091","даня милохин","выдыхаю боль"
"1092","даня милохин","друг"
"1093","джарахов; morgenshtern","дегенерат (deluxe)"
"1094","ирина кайратовна; yelaman","халат"
"1095","канги","возьми сердце моё"
"1096","леван горозия","вместе"
"1097","лилу45","вернуться домой"
"1098","мальбэк","хабиби"
"1099","платина","salam"
"1100","просто лера","холодный дождь"
"1101","просто лера","адик"
"1102","просто лера","хрущёвка"
"1103","просто лера","мотыльки"
"1104","просто лера","провода"
"1105","тима белорусских","тает ещё"
"1106","фогель","привычка"
"1107","фогель","дуракам везёт"
"1108","хабиб","ягода малинка"
"1109","ханза; ramil'","плачь и танцуй"
"1110","ханна","весна"
"1111","morgenshtern","yung hefner"
"1112","gidayyat; gazan","коронаминус"
"1113","morgenshtern","она - оно"
"1114","free flow flava","final round"
"1115","gayazov$ brother$; filatov & karas","пошла жара"
"1116","galibri; mavik","федерико феллини"
"1117","goro","дорогу молодым"
"1118","niman; truwer; райда; скриптонит","талия"
